PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,3,Passenger_1,male,,0,1,TCK72109,13.08,,C
2,1,2,Passenger_2,female,46.3,4,0,TCK73892,14.36,,S
3,1,3,Passenger_3,female,28.1,0,0,TCK61185,13.68,,S
4,0,3,Passenger_4,male,,0,2,TCK73369,12.64,,S
5,1,1,Passenger_5,female,38.1,4,0,TCK59953,39.2,,S
6,1,3,Passenger_6,female,27.4,0,0,TCK83782,5.35,,S
7,1,3,Passenger_7,male,11.9,0,1,TCK26162,15.94,,
8,1,3,Passenger_8,female,29.8,0,0,TCK53511,4.0,,Q
9,1,1,Passenger_9,male,38.7,0,1,TCK47475,90.9,,S
10,1,3,Passenger_10,female,9.4,0,2,TCK58001,10.51,,S
11,1,2,Passenger_11,female,,0,1,TCK22787,31.99,,S
12,1,3,Passenger_12,female,24.0,0,0,TCK39144,10.43,,S
13,0,3,Passenger_13,male,46.6,2,2,TCK95871,16.43,,C
14,1,3,Passenger_14,female,35.7,0,0,TCK19473,10.94,,S
15,0,2,Passenger_15,male,30.1,0,1,TCK67177,21.96,,C
16,1,1,Passenger_16,male,41.0,0,1,TCK69816,108.76,,C
17,1,3,Passenger_17,male,25.5,0,1,TCK52705,10.59,,S
18,1,1,Passenger_18,female,35.6,1,0,TCK13024,117.48,,S
19,0,3,Passenger_19,male,12.0,2,0,TCK13092,7.83,,Q
20,1,3,Passenger_20,female,23.2,3,0,TCK34806,14.53,,S
21,1,3,Passenger_21,female,16.0,0,0,TCK19226,17.8,,S
22,0,2,Passenger_22,male,15.0,0,0,TCK18480,26.54,,Q
23,1,3,Passenger_23,male,31.1,0,0,TCK24410,22.97,,C
24,0,3,Passenger_24,male,,0,0,TCK27165,9.03,,S
25,1,3,Passenger_25,male,,0,1,TCK85461,5.83,,S
26,1,1,Passenger_26,female,36.5,1,2,TCK67485,50.59,,S
27,0,3,Passenger_27,male,36.9,0,0,TCK12736,16.43,,C
28,1,1,Passenger_28,female,50.7,0,1,TCK66562,100.73,,S
29,0,1,Passenger_29,male,50.3,0,0,TCK22303,87.44,,S
30,1,3,Passenger_30,female,25.5,0,0,TCK47894,7.16,,S
31,0,3,Passenger_31,female,14.9,0,0,TCK13424,16.99,,Q
32,1,3,Passenger_32,female,12.0,0,1,TCK18115,6.63,,C
33,1,2,Passenger_33,female,34.1,1,3,TCK21933,30.74,,S
34,0,2,Passenger_34,female,34.6,0,1,TCK49003,45.0,,S
35,1,3,Passenger_35,male,40.4,0,2,TCK51676,14.91,,Q
36,0,1,Passenger_36,male,51.2,0,3,TCK41746,103.59,,Q
37,1,1,Passenger_37,male,,1,0,TCK65814,67.44,,S
38,0,3,Passenger_38,male,10.1,0,0,TCK74840,4.0,,S
39,1,1,Passenger_39,female,34.2,1,0,TCK75585,63.75,,S
40,0,3,Passenger_40,male,,2,3,TCK62111,7.32,,S
41,1,2,Passenger_41,female,27.6,0,0,TCK59099,8.85,,S
42,0,3,Passenger_42,male,18.1,1,0,TCK54240,21.96,,S
43,1,3,Passenger_43,female,28.0,0,2,TCK31413,14.42,,S
44,1,2,Passenger_44,male,24.0,3,0,TCK53827,24.19,,C
45,0,3,Passenger_45,male,17.5,0,1,TCK10908,11.39,,S
46,1,3,Passenger_46,female,28.7,2,0,TCK96965,12.1,,S
47,1,2,Passenger_47,female,25.2,0,3,TCK43308,29.1,,S
48,0,2,Passenger_48,male,,0,2,TCK78065,20.73,,S
49,1,3,Passenger_49,male,28.3,0,0,TCK96102,15.76,,S
50,1,1,Passenger_50,male,24.3,1,1,TCK54727,77.41,,S
51,0,1,Passenger_51,male,32.2,0,0,TCK87563,72.5,,S
52,1,1,Passenger_52,female,55.3,0,0,TCK53129,36.73,,S
53,1,3,Passenger_53,female,11.1,1,0,TCK21905,4.0,,Q
54,0,3,Passenger_54,male,0.4,2,1,TCK12383,11.64,,S
55,0,3,Passenger_55,male,2.7,0,0,TCK22205,13.29,,Q
56,0,3,Passenger_56,male,25.3,0,0,TCK94824,6.31,,Q
57,1,3,Passenger_57,female,,0,1,TCK52759,12.82,,C
58,0,3,Passenger_58,male,23.6,1,0,TCK38725,13.28,,S
59,1,1,Passenger_59,female,,0,0,TCK50145,11.56,,S
60,1,1,Passenger_60,male,5.9,2,0,TCK33034,53.25,,S
61,0,3,Passenger_61,male,29.8,0,0,TCK88348,15.12,,S
62,0,3,Passenger_62,male,43.7,0,2,TCK99945,15.01,,S
63,1,3,Passenger_63,female,11.5,0,0,TCK17642,7.0,,Q
64,0,3,Passenger_64,male,20.4,0,0,TCK74681,13.82,,S
65,1,3,Passenger_65,male,16.0,1,2,TCK40203,18.32,,C
66,1,3,Passenger_66,female,,0,0,TCK14262,17.04,,S
67,1,3,Passenger_67,male,21.1,0,1,TCK92998,12.5,,S
68,0,2,Passenger_68,female,47.1,3,0,TCK15569,17.07,,S
69,1,1,Passenger_69,male,60.0,3,2,TCK28531,62.85,,S
70,0,2,Passenger_70,male,26.0,2,1,TCK12295,24.93,,S
71,1,1,Passenger_71,male,60.9,0,2,TCK52415,90.56,,S
72,1,2,Passenger_72,male,30.4,0,0,TCK63965,26.29,,S
73,0,3,Passenger_73,male,46.0,2,0,TCK38860,13.69,,S
74,1,1,Passenger_74,male,36.9,0,1,TCK16440,111.51,,S
75,0,1,Passenger_75,male,39.6,0,0,TCK20453,87.18,,Q
76,0,2,Passenger_76,male,34.4,1,0,TCK94004,27.59,,S
77,0,2,Passenger_77,male,68.1,0,0,TCK82531,28.31,,S
78,1,3,Passenger_78,male,,0,2,TCK94320,8.82,,S
79,0,3,Passenger_79,male,,4,1,TCK57771,4.0,,S
80,1,3,Passenger_80,male,36.6,1,0,TCK59144,21.03,,S
81,0,3,Passenger_81,male,20.7,0,1,TCK80738,14.33,,S
82,0,2,Passenger_82,male,24.1,0,0,TCK65496,6.6,,Q
83,0,3,Passenger_83,male,35.9,0,0,TCK49279,9.29,,S
84,1,1,Passenger_84,male,,0,0,TCK36270,109.93,,S
85,1,1,Passenger_85,male,41.3,1,0,TCK53695,74.6,,S
86,1,1,Passenger_86,male,,1,0,TCK15757,66.79,,S
87,0,3,Passenger_87,male,29.0,0,2,TCK27320,20.28,,S
88,0,3,Passenger_88,male,30.1,0,1,TCK76370,7.55,,S
89,0,1,Passenger_89,male,14.8,2,0,TCK88123,57.18,,S
90,1,3,Passenger_90,male,33.0,0,0,TCK19160,14.1,,S
91,1,1,Passenger_91,female,,0,0,TCK18721,97.12,,C
